LOL. Surprise! Фильм,2021,США,"боевик, анимация, семейный"
10:30,150
Ёлки 9,2022,Россия,комедия
10:20,150,11:40,170,12:40,170,15:00,170,17:20,170,19:40,170,20:20,170,22:30,170
На ощупь,2022,Россия,"драма, триллер"
16:10,170
Новогодний переполох,2017,Россия,"комедия, семейный"
11:50,170
Новогодний переполох,2014,Нидерланды / Бельгия,анимация
11:50,170
Петр I: Последний царь и первый император,2022,Россия,"исторический, документальный"
16:50,170
Призраки прошлого,2022,США,ужасы
22:00,170
Приключения Тедди,2022,Норвегия,семейный
14:10,170,18:00,170
Сердце пармы,2022,Россия,"исторический, драма"
10:50,150,13:30,170,19:10,170,21:50,170
Тайный Санта,2022,Россия,"мелодрама, комедия"
16:00,170,19:50,170,22:40,170
Тень. Взять Гордея,2022,Россия,"детектив, триллер"
18:10,170
Чинк: Хвостатый детектив ,2022,Россия,"комедия, приключения, детектив, семейный"
14:00,170
